,param_C,param_gamma,param_kernel,Score,Result,model_param,type,C
103,100,auto,sigmoid,Accuracy,0.5973688444007508,sigmoid auto,test,100
104,1000,scale,linear,Accuracy,0.49330771293234427,linear scale,test,1000
105,1000,scale,rbf,Accuracy,0.6613084279202788,rbf scale,test,1000
106,1000,scale,poly,Accuracy,0.441656984538386,poly scale,test,1000
107,1000,scale,sigmoid,Accuracy,0.7150487085530431,sigmoid scale,test,1000
108,1000,auto,linear,Accuracy,0.49330771293234427,linear auto,test,1000
109,1000,auto,rbf,Accuracy,0.7718062382697293,rbf auto,test,1000
110,1000,auto,poly,Accuracy,0.5533041379926714,poly auto,test,1000
111,1000,auto,sigmoid,Accuracy,0.5973688444007508,sigmoid auto,test,1000
112,0.001,scale,linear,F1,0.2643450981341191,linear scale,train,0.001
113,0.001,scale,rbf,F1,0.0,rbf scale,train,0.001
114,0.001,scale,poly,F1,0.01077493054437996,poly scale,train,0.001
115,0.001,scale,sigmoid,F1,0.0,sigmoid scale,train,0.001
116,0.001,auto,linear,F1,0.2643450981341191,linear auto,train,0.001
117,0.001,auto,rbf,F1,0.0,rbf auto,train,0.001
118,0.001,auto,poly,F1,0.2914192982894849,poly auto,train,0.001
119,0.001,auto,sigmoid,F1,0.0,sigmoid auto,train,0.001
120,0.01,scale,linear,F1,0.1532495560131033,linear scale,train,0.01
121,0.01,scale,rbf,F1,0.0,rbf scale,train,0.01
122,0.01,scale,poly,F1,0.16084484087989784,poly scale,train,0.01
123,0.01,scale,sigmoid,F1,0.0,sigmoid scale,train,0.01
124,0.01,auto,linear,F1,0.1532495560131033,linear auto,train,0.01
125,0.01,auto,rbf,F1,0.0,rbf auto,train,0.01
126,0.01,auto,poly,F1,0.22187547259637969,poly auto,train,0.01
127,0.01,auto,sigmoid,F1,0.0,sigmoid auto,train,0.01
128,0.1,scale,linear,F1,0.20769101058012684,linear scale,train,0.1
129,0.1,scale,rbf,F1,0.0,rbf scale,train,0.1
130,0.1,scale,poly,F1,0.226410451983043,poly scale,train,0.1
131,0.1,scale,sigmoid,F1,0.0013559322033898304,sigmoid scale,train,0.1
132,0.1,auto,linear,F1,0.20769101058012684,linear auto,train,0.1
133,0.1,auto,rbf,F1,0.0,rbf auto,train,0.1
134,0.1,auto,poly,F1,0.22980307344331008,poly auto,train,0.1
135,0.1,auto,sigmoid,F1,0.0240476423082691,sigmoid auto,train,0.1
136,1,scale,linear,F1,0.20769101058012684,linear scale,train,1
137,1,scale,rbf,F1,0.1164593024893732,rbf scale,train,1
138,1,scale,poly,F1,0.35899247411206486,poly scale,train,1
139,1,scale,sigmoid,F1,0.3359334686328723,sigmoid scale,train,1
140,1,auto,linear,F1,0.20769101058012684,linear auto,train,1
141,1,auto,rbf,F1,0.9759319832847229,rbf auto,train,1
142,1,auto,poly,F1,0.22940290825024925,poly auto,train,1
143,1,auto,sigmoid,F1,0.06211523852066918,sigmoid auto,train,1
144,10,scale,linear,F1,0.20769101058012684,linear scale,train,10
145,10,scale,rbf,F1,0.16488017253695725,rbf scale,train,10
146,10,scale,poly,F1,0.16615127385907116,poly scale,train,10
147,10,scale,sigmoid,F1,0.34289404651058963,sigmoid scale,train,10
148,10,auto,linear,F1,0.20769101058012684,linear auto,train,10
149,10,auto,rbf,F1,0.9972614046914986,rbf auto,train,10
150,10,auto,poly,F1,0.28757683735437933,poly auto,train,10
151,10,auto,sigmoid,F1,0.08301807591828352,sigmoid auto,train,10
152,100,scale,linear,F1,0.20769101058012684,linear scale,train,100
153,100,scale,rbf,F1,0.1676745204472711,rbf scale,train,100
154,100,scale,poly,F1,0.21821288538775882,poly scale,train,100
155,100,scale,sigmoid,F1,0.34298739237291626,sigmoid scale,train,100
156,100,auto,linear,F1,0.20769101058012684,linear auto,train,100
157,100,auto,rbf,F1,1.0,rbf auto,train,100
158,100,auto,poly,F1,0.07722001376774754,poly auto,train,100
159,100,auto,sigmoid,F1,0.08603979179957949,sigmoid auto,train,100
160,1000,scale,linear,F1,0.20769101058012684,linear scale,train,1000
161,1000,scale,rbf,F1,0.3581749608084293,rbf scale,train,1000
162,1000,scale,poly,F1,0.2436533398557994,poly scale,train,1000
163,1000,scale,sigmoid,F1,0.3430947383695611,sigmoid scale,train,1000
164,1000,auto,linear,F1,0.20769101058012684,linear auto,train,1000
165,1000,auto,rbf,F1,1.0,rbf auto,train,1000
166,1000,auto,poly,F1,0.18210447836348076,poly auto,train,1000
167,1000,auto,sigmoid,F1,0.08583037310487333,sigmoid auto,train,1000
168,0.001,scale,linear,F1,0.2410969465317291,linear scale,test,0.001
169,0.001,scale,rbf,F1,0.0,rbf scale,test,0.001
170,0.001,scale,poly,F1,0.0,poly scale,test,0.001
171,0.001,scale,sigmoid,F1,0.0,sigmoid scale,test,0.001
172,0.001,auto,linear,F1,0.2410969465317291,linear auto,test,0.001
173,0.001,auto,rbf,F1,0.0,rbf auto,test,0.001
174,0.001,auto,poly,F1,0.28581768723756557,poly auto,test,0.001
175,0.001,auto,sigmoid,F1,0.0,sigmoid auto,test,0.001
176,0.01,scale,linear,F1,0.14028420836641464,linear scale,test,0.01
177,0.01,scale,rbf,F1,0.0,rbf scale,test,0.01
178,0.01,scale,poly,F1,0.15390408996101246,poly scale,test,0.01
179,0.01,scale,sigmoid,F1,0.0,sigmoid scale,test,0.01
180,0.01,auto,linear,F1,0.14028420836641464,linear auto,test,0.01
181,0.01,auto,rbf,F1,0.0,rbf auto,test,0.01
182,0.01,auto,poly,F1,0.2146456404703442,poly auto,test,0.01
183,0.01,auto,sigmoid,F1,0.0,sigmoid auto,test,0.01
184,0.1,scale,linear,F1,0.18993829438222565,linear scale,test,0.1
185,0.1,scale,rbf,F1,0.0,rbf scale,test,0.1
186,0.1,scale,poly,F1,0.21095607772859654,poly scale,test,0.1
187,0.1,scale,sigmoid,F1,0.0,sigmoid scale,test,0.1
188,0.1,auto,linear,F1,0.18993829438222565,linear auto,test,0.1
189,0.1,auto,rbf,F1,0.0,rbf auto,test,0.1
190,0.1,auto,poly,F1,0.22495390883626182,poly auto,test,0.1
191,0.1,auto,sigmoid,F1,0.0280997719097976,sigmoid auto,test,0.1
192,1,scale,linear,F1,0.18993829438222565,linear scale,test,1
193,1,scale,rbf,F1,0.07959507481524664,rbf scale,test,1
194,1,scale,poly,F1,0.35934642805777567,poly scale,test,1
195,1,scale,sigmoid,F1,0.3450356773233295,sigmoid scale,test,1
196,1,auto,linear,F1,0.18993829438222565,linear auto,test,1
197,1,auto,rbf,F1,0.0,rbf auto,test,1
198,1,auto,poly,F1,0.2134405486332464,poly auto,test,1
199,1,auto,sigmoid,F1,0.05445135067368727,sigmoid auto,test,1
200,10,scale,linear,F1,0.18993829438222565,linear scale,test,10
201,10,scale,rbf,F1,0.1443790299971965,rbf scale,test,10
202,10,scale,poly,F1,0.1528941984317238,poly scale,test,10
203,10,scale,sigmoid,F1,0.34310468673128786,sigmoid scale,test,10
204,10,auto,linear,F1,0.18993829438222565,linear auto,test,10
205,10,auto,rbf,F1,0.0,rbf auto,test,10
206,10,auto,poly,F1,0.2862330101035207,poly auto,test,10
207,10,auto,sigmoid,F1,0.08028009104249452,sigmoid auto,test,10
208,100,scale,linear,F1,0.18993829438222565,linear scale,test,100
209,100,scale,rbf,F1,0.12609903987062548,rbf scale,test,100
210,100,scale,poly,F1,0.2144187098440534,poly scale,test,100
211,100,scale,sigmoid,F1,0.3444792754704086,sigmoid scale,test,100
212,100,auto,linear,F1,0.18993829438222565,linear auto,test,100
213,100,auto,rbf,F1,0.005128205128205129,rbf auto,test,100
214,100,auto,poly,F1,0.08005502111295562,poly auto,test,100
215,100,auto,sigmoid,F1,0.07915050331247682,sigmoid auto,test,100
216,1000,scale,linear,F1,0.18993829438222565,linear scale,test,1000
217,1000,scale,rbf,F1,0.34197716696702496,rbf scale,test,1000
218,1000,scale,poly,F1,0.23156669114128517,poly scale,test,1000
219,1000,scale,sigmoid,F1,0.3444792754704086,sigmoid scale,test,1000
220,1000,auto,linear,F1,0.18993829438222565,linear auto,test,1000
221,1000,auto,rbf,F1,0.005128205128205129,rbf auto,test,1000
222,1000,auto,poly,F1,0.16380350232349628,poly auto,test,1000
223,1000,auto,sigmoid,F1,0.07915050331247682,sigmoid auto,test,1000
