Result,model_param,Score,type,C,gamma,kernel
0.760373831775701,0.0625 / 0.001953125,Accuracy,test,0.0625,0.001953125,rbf
0.7338317757009346,0.0625 / 0.00390625,Accuracy,test,0.0625,0.00390625,rbf
0.7214953271028038,0.0625 / 0.0078125,Accuracy,test,0.0625,0.0078125,rbf
0.7039252336448598,0.0625 / 0.015625,Accuracy,test,0.0625,0.015625,rbf
0.5046728971962617,0.0625 / 0.03125,Accuracy,test,0.0625,0.03125,rbf
0.7906542056074766,0.125 / 0.00048828125,Accuracy,test,0.125,0.00048828125,rbf
0.7596261682242991,0.125 / 0.0009765625,Accuracy,test,0.125,0.0009765625,rbf
0.7334579439252337,0.125 / 0.001953125,Accuracy,test,0.125,0.001953125,rbf
0.7289719626168225,0.125 / 0.00390625,Accuracy,test,0.125,0.00390625,rbf
0.7271028037383178,0.125 / 0.0078125,Accuracy,test,0.125,0.0078125,rbf
0.7185046728971962,0.125 / 0.015625,Accuracy,test,0.125,0.015625,rbf
0.6403738317757008,0.125 / 0.03125,Accuracy,test,0.125,0.03125,rbf
0.24635514018691587,0.125 / 0.0625,Accuracy,test,0.125,0.0625,rbf
0.7895327102803738,0.25 / 0.000244140625,Accuracy,test,0.25,0.000244140625,rbf
0.7566355140186916,0.25 / 0.00048828125,Accuracy,test,0.25,0.00048828125,rbf
0.7360747663551402,0.25 / 0.0009765625,Accuracy,test,0.25,0.0009765625,rbf
0.7304672897196262,0.25 / 0.001953125,Accuracy,test,0.25,0.001953125,rbf
0.7304672897196262,0.25 / 0.00390625,Accuracy,test,0.25,0.00390625,rbf
0.731588785046729,0.25 / 0.0078125,Accuracy,test,0.25,0.0078125,rbf
0.7345794392523365,0.25 / 0.015625,Accuracy,test,0.25,0.015625,rbf
0.7226168224299065,0.25 / 0.03125,Accuracy,test,0.25,0.03125,rbf
0.41682242990654206,0.25 / 0.0625,Accuracy,test,0.25,0.0625,rbf
0.21345794392523362,0.25 / 0.125,Accuracy,test,0.25,0.125,rbf
0.3278504672897196,0.25 / 0.25,Accuracy,test,0.25,0.25,rbf
0.7895327102803738,0.5 / 0.0001220703125,Accuracy,test,0.5,0.0001220703125,rbf
0.753644859813084,0.5 / 0.000244140625,Accuracy,test,0.5,0.000244140625,rbf
0.7360747663551402,0.5 / 0.00048828125,Accuracy,test,0.5,0.00048828125,rbf
0.7308411214953271,0.5 / 0.0009765625,Accuracy,test,0.5,0.0009765625,rbf
0.7308411214953271,0.5 / 0.001953125,Accuracy,test,0.5,0.001953125,rbf
0.7323364485981309,0.5 / 0.00390625,Accuracy,test,0.5,0.00390625,rbf
0.7405607476635515,0.5 / 0.0078125,Accuracy,test,0.5,0.0078125,rbf
0.7543925233644859,0.5 / 0.015625,Accuracy,test,0.5,0.015625,rbf
0.7757009345794392,0.5 / 0.03125,Accuracy,test,0.5,0.03125,rbf
0.7895327102803738,1.0 / 6.103515625e-05,Accuracy,test,1.0,6.103515625e-05,rbf
0.7514018691588784,1.0 / 0.0001220703125,Accuracy,test,1.0,0.0001220703125,rbf
0.737570093457944,1.0 / 0.000244140625,Accuracy,test,1.0,0.000244140625,rbf
0.7319626168224299,1.0 / 0.00048828125,Accuracy,test,1.0,0.00048828125,rbf
0.7327102803738318,1.0 / 0.0009765625,Accuracy,test,1.0,0.0009765625,rbf
0.7330841121495327,1.0 / 0.001953125,Accuracy,test,1.0,0.001953125,rbf
0.7390654205607478,1.0 / 0.00390625,Accuracy,test,1.0,0.00390625,rbf
0.7491588785046729,1.0 / 0.0078125,Accuracy,test,1.0,0.0078125,rbf
0.7757009345794392,1.0 / 0.015625,Accuracy,test,1.0,0.015625,rbf
0.7985046728971963,1.0 / 0.03125,Accuracy,test,1.0,0.03125,rbf
