Result,model_param,Score,type,C,gamma,coef0,kernel
0.8914556962025315,0.5 / 0.00781 / 0.0,Accuracy,train,0.5,0.0078125,0.0,sigmoid
0.8788607594936708,0.5 / 0.01562 / 0.0,Accuracy,train,0.5,0.015625,0.0,sigmoid
0.8738291139240506,0.5 / 0.03125 / 0.0,Accuracy,train,0.5,0.03125,0.0,sigmoid
0.8183860759493671,0.5 / 0.0625 / 0.0,Accuracy,train,0.5,0.0625,0.0,sigmoid
0.6260126582278481,0.5 / 0.125 / 0.0,Accuracy,train,0.5,0.125,0.0,sigmoid
0.8889240506329112,0.5 / 0.00781 / 0.1,Accuracy,train,0.5,0.0078125,0.1,sigmoid
0.8763291139240506,0.5 / 0.01562 / 0.1,Accuracy,train,0.5,0.015625,0.1,sigmoid
0.8737974683544303,0.5 / 0.03125 / 0.1,Accuracy,train,0.5,0.03125,0.1,sigmoid
0.7930696202531646,0.5 / 0.0625 / 0.1,Accuracy,train,0.5,0.0625,0.1,sigmoid
0.6108860759493672,0.5 / 0.125 / 0.1,Accuracy,train,0.5,0.125,0.1,sigmoid
0.8611392405063292,0.5 / 0.03125 / 1.0,Accuracy,train,0.5,0.03125,1.0,sigmoid
0.7650316455696202,0.5 / 0.0625 / 1.0,Accuracy,train,0.5,0.0625,1.0,sigmoid
0.5728797468354431,0.5 / 0.125 / 1.0,Accuracy,train,0.5,0.125,1.0,sigmoid
0.5297151898734176,0.5 / 0.25 / 1.0,Accuracy,train,0.5,0.25,1.0,sigmoid
0.886392405063291,1.0 / 0.00391 / 0.0,Accuracy,train,1.0,0.00390625,0.0,sigmoid
0.8813924050632911,1.0 / 0.00781 / 0.0,Accuracy,train,1.0,0.0078125,0.0,sigmoid
0.8788607594936708,1.0 / 0.01562 / 0.0,Accuracy,train,1.0,0.015625,0.0,sigmoid
0.8663607594936709,1.0 / 0.03125 / 0.0,Accuracy,train,1.0,0.03125,0.0,sigmoid
0.7298101265822784,1.0 / 0.0625 / 0.0,Accuracy,train,1.0,0.0625,0.0,sigmoid
0.8914556962025315,1.0 / 0.00391 / 0.1,Accuracy,train,1.0,0.00390625,0.1,sigmoid
0.8763291139240506,1.0 / 0.00781 / 0.1,Accuracy,train,1.0,0.0078125,0.1,sigmoid
0.8763291139240506,1.0 / 0.01562 / 0.1,Accuracy,train,1.0,0.015625,0.1,sigmoid
0.8613291139240505,1.0 / 0.03125 / 0.1,Accuracy,train,1.0,0.03125,0.1,sigmoid
0.6767088607594935,1.0 / 0.0625 / 0.1,Accuracy,train,1.0,0.0625,0.1,sigmoid
0.8560443037974682,1.0 / 0.00781 / 1.0,Accuracy,train,1.0,0.0078125,1.0,sigmoid
0.8763291139240506,1.0 / 0.01562 / 1.0,Accuracy,train,1.0,0.015625,1.0,sigmoid
0.8409810126582279,1.0 / 0.03125 / 1.0,Accuracy,train,1.0,0.03125,1.0,sigmoid
0.638639240506329,1.0 / 0.0625 / 1.0,Accuracy,train,1.0,0.0625,1.0,sigmoid
0.55,1.0 / 0.125 / 1.0,Accuracy,train,1.0,0.125,1.0,sigmoid
0.886392405063291,2.0 / 0.00195 / 0.0,Accuracy,train,2.0,0.001953125,0.0,sigmoid
0.8813924050632911,2.0 / 0.00391 / 0.0,Accuracy,train,2.0,0.00390625,0.0,sigmoid
0.8788607594936708,2.0 / 0.00781 / 0.0,Accuracy,train,2.0,0.0078125,0.0,sigmoid
0.8714240506329114,2.0 / 0.01562 / 0.0,Accuracy,train,2.0,0.015625,0.0,sigmoid
0.8437025316455695,2.0 / 0.03125 / 0.0,Accuracy,train,2.0,0.03125,0.0,sigmoid
0.6513924050632911,2.0 / 0.0625 / 0.0,Accuracy,train,2.0,0.0625,0.0,sigmoid
0.886392405063291,2.0 / 0.00195 / 0.1,Accuracy,train,2.0,0.001953125,0.1,sigmoid
0.8813924050632911,2.0 / 0.00391 / 0.1,Accuracy,train,2.0,0.00390625,0.1,sigmoid
0.8788607594936708,2.0 / 0.00781 / 0.1,Accuracy,train,2.0,0.0078125,0.1,sigmoid
0.8688924050632911,2.0 / 0.01562 / 0.1,Accuracy,train,2.0,0.015625,0.1,sigmoid
0.838639240506329,2.0 / 0.03125 / 0.1,Accuracy,train,2.0,0.03125,0.1,sigmoid
0.6235443037974683,2.0 / 0.0625 / 0.1,Accuracy,train,2.0,0.0625,0.1,sigmoid
0.8687025316455695,2.0 / 0.00391 / 1.0,Accuracy,train,2.0,0.00390625,1.0,sigmoid
