,target,increment,post_basic,post_temporal,comment_basic,post_sent,comment_sent,post_sBERT,comment_sBERT,DummyClassifier_train_acc,DummyClassifier_test_acc,DummyClassifier_train_f1,DummyClassifier_test_f1,LogisticRegression_train_acc,LogisticRegression_test_acc,LogisticRegression_train_f1,LogisticRegression_test_f1,KNeighborsClassifier_train_acc,KNeighborsClassifier_test_acc,KNeighborsClassifier_train_f1,KNeighborsClassifier_test_f1,SVC_train_acc,SVC_test_acc,SVC_train_f1,SVC_test_f1,DecisionTreeClassifier_train_acc,DecisionTreeClassifier_test_acc,DecisionTreeClassifier_train_f1,DecisionTreeClassifier_test_f1,RandomForestClassifier_train_acc,RandomForestClassifier_test_acc,RandomForestClassifier_train_f1,RandomForestClassifier_test_f1,AdaBoostClassifier_train_acc,AdaBoostClassifier_test_acc,AdaBoostClassifier_train_f1,AdaBoostClassifier_test_f1,GradientBoostingClassifier_train_acc,GradientBoostingClassifier_test_acc,GradientBoostingClassifier_train_f1,GradientBoostingClassifier_test_f1,GaussianNB_train_acc,GaussianNB_test_acc,GaussianNB_train_f1,GaussianNB_test_f1
23,popular_hr_6,6,True,True,True,False,False,False,False,0.821,0.821,0.0,0.0,0.885,0.882,0.578,0.567,0.92,0.875,0.743,0.572,0.847,0.846,0.258,0.249,1.0,0.862,1.0,0.614,1.0,0.913,1.0,0.719,0.889,0.881,0.632,0.604,0.912,0.892,0.704,0.635,,,,
24,popular_hr_24,0,True,True,True,True,True,True,True,0.818,0.818,0.0,0.0,0.83,0.829,0.224,0.206,0.847,0.805,0.405,0.248,0.818,0.818,0.0,0.0,1.0,0.741,1.0,0.311,1.0,0.826,1.0,0.211,0.835,0.812,0.314,0.202,0.88,0.811,0.517,0.201,,,,
25,popular_hr_24,0,True,True,True,True,False,True,False,0.818,0.818,0.0,0.0,0.83,0.829,0.224,0.206,0.847,0.805,0.405,0.248,0.818,0.818,0.0,0.0,1.0,0.741,1.0,0.311,1.0,0.826,1.0,0.211,0.835,0.812,0.314,0.202,0.88,0.811,0.517,0.201,,,,
26,popular_hr_24,0,True,True,True,True,True,False,False,0.818,0.818,0.0,0.0,0.83,0.829,0.224,0.206,0.847,0.805,0.405,0.248,0.818,0.818,0.0,0.0,1.0,0.741,1.0,0.311,1.0,0.826,1.0,0.211,0.835,0.812,0.314,0.202,0.88,0.811,0.517,0.201,,,,
27,popular_hr_24,0,True,True,True,False,False,False,False,0.818,0.818,0.0,0.0,0.83,0.829,0.224,0.206,0.847,0.805,0.405,0.248,0.818,0.818,0.0,0.0,1.0,0.741,1.0,0.311,1.0,0.826,1.0,0.211,0.835,0.812,0.314,0.202,0.88,0.811,0.517,0.201,,,,
28,popular_hr_24,3,True,True,True,True,True,True,True,0.801,0.801,0.0,0.0,0.881,0.881,0.618,0.617,0.967,0.949,0.916,0.869,0.851,0.85,0.424,0.415,1.0,0.906,1.0,0.765,1.0,0.961,1.0,0.897,0.888,0.887,0.68,0.678,0.912,0.902,0.75,0.717,,,,
29,popular_hr_24,3,True,True,True,True,False,True,False,0.801,0.801,0.0,0.0,0.881,0.881,0.618,0.617,0.967,0.949,0.916,0.869,0.851,0.85,0.424,0.415,1.0,0.906,1.0,0.765,1.0,0.961,1.0,0.897,0.888,0.887,0.68,0.678,0.912,0.902,0.75,0.717,,,,
30,popular_hr_24,3,True,True,True,True,True,False,False,0.801,0.801,0.0,0.0,0.881,0.881,0.618,0.617,0.967,0.949,0.916,0.869,0.851,0.85,0.424,0.415,1.0,0.906,1.0,0.765,1.0,0.961,1.0,0.897,0.888,0.887,0.68,0.678,0.912,0.902,0.75,0.717,,,,
31,popular_hr_24,3,True,True,True,False,False,False,False,0.801,0.801,0.0,0.0,0.881,0.881,0.618,0.617,0.967,0.949,0.916,0.869,0.851,0.85,0.424,0.415,1.0,0.906,1.0,0.765,1.0,0.961,1.0,0.897,0.888,0.887,0.68,0.678,0.912,0.902,0.75,0.717,,,,
32,popular_hr_24,6,True,True,True,True,True,True,True,0.803,0.803,0.0,0.0,0.873,0.871,0.574,0.565,0.925,0.868,0.789,0.612,0.832,0.832,0.269,0.263,1.0,0.853,1.0,0.628,1.0,0.919,1.0,0.768,0.882,0.875,0.647,0.625,0.905,0.886,0.716,0.658,,,,
33,popular_hr_24,6,True,True,True,True,False,True,False,0.803,0.803,0.0,0.0,0.873,0.871,0.574,0.565,0.925,0.868,0.789,0.612,0.832,0.832,0.269,0.263,1.0,0.853,1.0,0.628,1.0,0.919,1.0,0.768,0.882,0.875,0.647,0.625,0.905,0.886,0.716,0.658,,,,
34,popular_hr_24,6,True,True,True,True,True,False,False,0.803,0.803,0.0,0.0,0.873,0.871,0.574,0.565,0.925,0.868,0.789,0.612,0.832,0.832,0.269,0.263,1.0,0.853,1.0,0.628,1.0,0.919,1.0,0.768,0.882,0.875,0.647,0.625,0.905,0.886,0.716,0.658,,,,
35,popular_hr_24,6,True,True,True,False,False,False,False,0.803,0.803,0.0,0.0,0.873,0.871,0.574,0.565,0.925,0.868,0.789,0.612,0.832,0.832,0.269,0.263,1.0,0.853,1.0,0.628,1.0,0.919,1.0,0.768,0.882,0.875,0.647,0.625,0.905,0.886,0.716,0.658,,,,
