Result,model_param,Score,type,C,gamma,degree,kernel
0.6673479648825394,1.0 / 0.0078125 / 3 / poly,F1,train,1.0,0.0078125,3,poly
0.9697926717034802,1.0 / 0.015625 / 3 / poly,F1,train,1.0,0.015625,3,poly
0.8082610165031646,2.0 / 0.0078125 / 3 / poly,F1,train,2.0,0.0078125,3,poly
0.9042683418092572,4.0 / 0.0078125 / 3 / poly,F1,train,4.0,0.0078125,3,poly
0.6673479648825394,8.0 / 0.00390625 / 3 / poly,F1,train,8.0,0.00390625,3,poly
0.9697926717034802,8.0 / 0.0078125 / 3 / poly,F1,train,8.0,0.0078125,3,poly
0.8082610165031646,16.0 / 0.00390625 / 3 / poly,F1,train,16.0,0.00390625,3,poly
0.9042683418092572,32.0 / 0.00390625 / 3 / poly,F1,train,32.0,0.00390625,3,poly
0.6673479648825394,64.0 / 0.001953125 / 3 / poly,F1,train,64.0,0.001953125,3,poly
0.9697926717034802,64.0 / 0.00390625 / 3 / poly,F1,train,64.0,0.00390625,3,poly
0.8082610165031646,128.0 / 0.001953125 / 3 / poly,F1,train,128.0,0.001953125,3,poly
0.9042683418092572,256.0 / 0.001953125 / 3 / poly,F1,train,256.0,0.001953125,3,poly
0.6673479648825394,512.0 / 0.0009765625 / 3 / poly,F1,train,512.0,0.0009765625,3,poly
0.9697926717034802,512.0 / 0.001953125 / 3 / poly,F1,train,512.0,0.001953125,3,poly
0.8082610165031646,1024.0 / 0.0009765625 / 3 / poly,F1,train,1024.0,0.0009765625,3,poly
0.9042683418092572,2048.0 / 0.0009765625 / 3 / poly,F1,train,2048.0,0.0009765625,3,poly
0.6673479648825394,4096.0 / 0.00048828125 / 3 / poly,F1,train,4096.0,0.00048828125,3,poly
0.9697926717034802,4096.0 / 0.0009765625 / 3 / poly,F1,train,4096.0,0.0009765625,3,poly
0.8082610165031646,8192.0 / 0.00048828125 / 3 / poly,F1,train,8192.0,0.00048828125,3,poly
0.9042683418092572,16384.0 / 0.00048828125 / 3 / poly,F1,train,16384.0,0.00048828125,3,poly
0.6673479648825394,32768.0 / 0.000244140625 / 3 / poly,F1,train,32768.0,0.000244140625,3,poly
0.9697926717034802,32768.0 / 0.00048828125 / 3 / poly,F1,train,32768.0,0.00048828125,3,poly
0.3979589205931448,0.03125 / 0.03125 / 3 / poly,F1,test,0.03125,0.03125,3,poly
0.3838076382929183,0.0625 / 0.03125 / 3 / poly,F1,test,0.0625,0.03125,3,poly
0.29704837337568,0.125 / 0.015625 / 3 / poly,F1,test,0.125,0.015625,3,poly
0.3527701824368977,0.125 / 0.03125 / 3 / poly,F1,test,0.125,0.03125,3,poly
0.3979589205931448,0.25 / 0.015625 / 3 / poly,F1,test,0.25,0.015625,3,poly
0.3838076382929183,0.5 / 0.015625 / 3 / poly,F1,test,0.5,0.015625,3,poly
0.29704837337568,1.0 / 0.0078125 / 3 / poly,F1,test,1.0,0.0078125,3,poly
0.3527701824368977,1.0 / 0.015625 / 3 / poly,F1,test,1.0,0.015625,3,poly
0.3979589205931448,2.0 / 0.0078125 / 3 / poly,F1,test,2.0,0.0078125,3,poly
0.3838076382929183,4.0 / 0.0078125 / 3 / poly,F1,test,4.0,0.0078125,3,poly
0.29704837337568,8.0 / 0.00390625 / 3 / poly,F1,test,8.0,0.00390625,3,poly
0.3527701824368977,8.0 / 0.0078125 / 3 / poly,F1,test,8.0,0.0078125,3,poly
0.3979589205931448,16.0 / 0.00390625 / 3 / poly,F1,test,16.0,0.00390625,3,poly
0.3838076382929183,32.0 / 0.00390625 / 3 / poly,F1,test,32.0,0.00390625,3,poly
0.29704837337568,64.0 / 0.001953125 / 3 / poly,F1,test,64.0,0.001953125,3,poly
0.3527701824368977,64.0 / 0.00390625 / 3 / poly,F1,test,64.0,0.00390625,3,poly
0.3979589205931448,128.0 / 0.001953125 / 3 / poly,F1,test,128.0,0.001953125,3,poly
0.3838076382929183,256.0 / 0.001953125 / 3 / poly,F1,test,256.0,0.001953125,3,poly
0.29704837337568,512.0 / 0.0009765625 / 3 / poly,F1,test,512.0,0.0009765625,3,poly
0.3527701824368977,512.0 / 0.001953125 / 3 / poly,F1,test,512.0,0.001953125,3,poly
0.3979589205931448,1024.0 / 0.0009765625 / 3 / poly,F1,test,1024.0,0.0009765625,3,poly
0.3838076382929183,2048.0 / 0.0009765625 / 3 / poly,F1,test,2048.0,0.0009765625,3,poly
0.29704837337568,4096.0 / 0.00048828125 / 3 / poly,F1,test,4096.0,0.00048828125,3,poly
0.3527701824368977,4096.0 / 0.0009765625 / 3 / poly,F1,test,4096.0,0.0009765625,3,poly
0.3979589205931448,8192.0 / 0.00048828125 / 3 / poly,F1,test,8192.0,0.00048828125,3,poly
0.3838076382929183,16384.0 / 0.00048828125 / 3 / poly,F1,test,16384.0,0.00048828125,3,poly
0.29704837337568,32768.0 / 0.000244140625 / 3 / poly,F1,test,32768.0,0.000244140625,3,poly
0.3527701824368977,32768.0 / 0.00048828125 / 3 / poly,F1,test,32768.0,0.00048828125,3,poly
