,target,increment,post_basic,post_temporal,comment_basic,post_sent,comment_sent,post_sBERT,comment_sBERT,DummyClassifier_train_acc,DummyClassifier_test_acc,DummyClassifier_train_f1,DummyClassifier_test_f1,LogisticRegression_train_acc,LogisticRegression_test_acc,LogisticRegression_train_f1,LogisticRegression_test_f1,KNeighborsClassifier_train_acc,KNeighborsClassifier_test_acc,KNeighborsClassifier_train_f1,KNeighborsClassifier_test_f1,SVC_train_acc,SVC_test_acc,SVC_train_f1,SVC_test_f1,DecisionTreeClassifier_train_acc,DecisionTreeClassifier_test_acc,DecisionTreeClassifier_train_f1,DecisionTreeClassifier_test_f1,RandomForestClassifier_train_acc,RandomForestClassifier_test_acc,RandomForestClassifier_train_f1,RandomForestClassifier_test_f1,AdaBoostClassifier_train_acc,AdaBoostClassifier_test_acc,AdaBoostClassifier_train_f1,AdaBoostClassifier_test_f1,GradientBoostingClassifier_train_acc,GradientBoostingClassifier_test_acc,GradientBoostingClassifier_train_f1,GradientBoostingClassifier_test_f1,GaussianNB_train_acc,GaussianNB_test_acc,GaussianNB_train_f1,GaussianNB_test_f1
26,popular_hr_24,0,True,True,True,True,True,False,False,0.815,0.815,0.0,0.0,0.832,0.823,0.254,0.224,0.852,0.81,0.423,0.251,0.815,0.815,0.0,0.0,1.0,0.744,1.0,0.348,1.0,0.821,1.0,0.221,0.842,0.81,0.376,0.264,0.902,0.811,0.64,0.254,,,,
27,popular_hr_24,0,True,True,True,False,False,False,False,0.815,0.815,0.0,0.0,0.832,0.823,0.254,0.224,0.852,0.81,0.423,0.251,0.815,0.815,0.0,0.0,1.0,0.744,1.0,0.348,1.0,0.821,1.0,0.221,0.842,0.81,0.376,0.264,0.902,0.811,0.64,0.254,,,,
28,popular_hr_24,3,True,True,True,True,True,True,True,0.798,0.798,0.0,0.0,0.881,0.88,0.618,0.613,0.972,0.956,0.93,0.886,0.844,0.842,0.391,0.38,1.0,0.92,1.0,0.804,1.0,0.966,1.0,0.913,0.893,0.891,0.703,0.697,0.924,0.91,0.79,0.749,,,,
29,popular_hr_24,3,True,True,True,True,False,True,False,0.798,0.798,0.0,0.0,0.881,0.88,0.618,0.613,0.972,0.956,0.93,0.886,0.844,0.842,0.391,0.38,1.0,0.92,1.0,0.804,1.0,0.966,1.0,0.913,0.893,0.891,0.703,0.697,0.924,0.91,0.79,0.749,,,,
30,popular_hr_24,3,True,True,True,True,True,False,False,0.798,0.798,0.0,0.0,0.881,0.88,0.618,0.613,0.972,0.956,0.93,0.886,0.844,0.842,0.391,0.38,1.0,0.92,1.0,0.804,1.0,0.966,1.0,0.913,0.893,0.891,0.703,0.697,0.924,0.91,0.79,0.749,,,,
31,popular_hr_24,3,True,True,True,False,False,False,False,0.798,0.798,0.0,0.0,0.881,0.88,0.618,0.613,0.972,0.956,0.93,0.886,0.844,0.842,0.391,0.38,1.0,0.92,1.0,0.804,1.0,0.966,1.0,0.913,0.893,0.891,0.703,0.697,0.924,0.91,0.79,0.749,,,,
32,popular_hr_24,6,True,True,True,True,True,True,True,0.8,0.8,0.0,0.0,0.873,0.87,0.574,0.563,0.931,0.87,0.809,0.624,0.82,0.819,0.188,0.181,1.0,0.869,1.0,0.678,1.0,0.927,1.0,0.797,0.885,0.875,0.668,0.637,0.919,0.889,0.765,0.677,,,,
33,popular_hr_24,6,True,True,True,True,False,True,False,0.8,0.8,0.0,0.0,0.873,0.87,0.574,0.563,0.931,0.87,0.809,0.624,0.82,0.819,0.188,0.181,1.0,0.869,1.0,0.678,1.0,0.927,1.0,0.797,0.885,0.875,0.668,0.637,0.919,0.889,0.765,0.677,,,,
34,popular_hr_24,6,True,True,True,True,True,False,False,0.8,0.8,0.0,0.0,0.873,0.87,0.574,0.563,0.931,0.87,0.809,0.624,0.82,0.819,0.188,0.181,1.0,0.869,1.0,0.678,1.0,0.927,1.0,0.797,0.885,0.875,0.668,0.637,0.919,0.889,0.765,0.677,,,,
35,popular_hr_24,6,True,True,True,False,False,False,False,0.8,0.8,0.0,0.0,0.873,0.87,0.574,0.563,0.931,0.87,0.809,0.624,0.82,0.819,0.188,0.181,1.0,0.869,1.0,0.678,1.0,0.927,1.0,0.797,0.885,0.875,0.668,0.637,0.919,0.889,0.765,0.677,,,,
