,target,increment,post_basic,post_temporal,comment_basic,post_sent,comment_sent,post_sBERT,comment_sBERT,DummyClassifier,DummyClassifier_f1,DummyClassifier_precision,DummyClassifier_recall,DummyClassifier_roc_auc,LogisticRegression,LogisticRegression_f1,LogisticRegression_precision,LogisticRegression_recall,LogisticRegression_roc_auc,KNeighborsClassifier,KNeighborsClassifier_f1,KNeighborsClassifier_precision,KNeighborsClassifier_recall,KNeighborsClassifier_roc_auc,SVC,SVC_f1,SVC_precision,SVC_recall,SVC_roc_auc,DecisionTreeClassifier,DecisionTreeClassifier_f1,DecisionTreeClassifier_precision,DecisionTreeClassifier_recall,DecisionTreeClassifier_roc_auc,RandomForestClassifier,RandomForestClassifier_f1,RandomForestClassifier_precision,RandomForestClassifier_recall,RandomForestClassifier_roc_auc,AdaBoostClassifier,AdaBoostClassifier_f1,AdaBoostClassifier_precision,AdaBoostClassifier_recall,AdaBoostClassifier_roc_auc,GradientBoostingClassifier,GradientBoostingClassifier_f1,GradientBoostingClassifier_precision,GradientBoostingClassifier_recall,GradientBoostingClassifier_roc_auc,GaussianNB,GaussianNB_f1,GaussianNB_precision,GaussianNB_recall,GaussianNB_roc_auc
24,popular_hr_24,0,True,True,True,True,True,True,True,0.8,0.0,0.0,0.0,0.5,0.745,0.286,0.324,0.255,0.561,0.711,0.306,0.294,0.319,0.564,0.8,0.0,0.0,0.0,0.5,0.681,0.257,0.241,0.277,0.529,0.8,0.0,0.0,0.0,0.5,0.791,0.347,0.464,0.277,0.598,0.783,0.19,0.375,0.128,0.537,0.651,0.423,0.316,0.638,0.646
25,popular_hr_24,0,True,True,True,True,False,True,False,0.8,0.0,0.0,0.0,0.5,0.757,0.313,0.361,0.277,0.577,0.698,0.268,0.26,0.277,0.54,0.8,0.0,0.0,0.0,0.5,0.711,0.261,0.267,0.255,0.54,0.8,0.041,0.5,0.021,0.508,0.715,0.107,0.143,0.085,0.479,0.8,0.203,0.5,0.128,0.548,0.647,0.394,0.3,0.574,0.62
26,popular_hr_24,0,True,True,True,True,True,False,False,0.8,0.0,0.0,0.0,0.5,0.813,0.267,0.615,0.17,0.572,0.77,0.25,0.36,0.191,0.553,0.8,0.0,0.0,0.0,0.5,0.723,0.286,0.295,0.277,0.556,0.826,0.281,0.8,0.17,0.58,0.791,0.269,0.45,0.191,0.566,0.804,0.281,0.529,0.191,0.574,0.664,0.347,0.284,0.447,0.582
27,popular_hr_24,0,True,True,True,False,False,False,False,0.8,0.0,0.0,0.0,0.5,0.817,0.271,0.667,0.17,0.574,0.774,0.209,0.35,0.149,0.54,0.8,0.0,0.0,0.0,0.5,0.757,0.36,0.381,0.34,0.601,0.826,0.281,0.8,0.17,0.58,0.791,0.269,0.45,0.191,0.566,0.813,0.29,0.6,0.191,0.58,0.651,0.317,0.26,0.404,0.559
28,popular_hr_24,3,True,True,True,True,True,True,True,0.793,0.0,0.0,0.0,0.5,0.97,0.926,0.956,0.898,0.944,0.998,0.996,0.992,1.0,0.999,0.793,0.0,0.0,0.0,0.5,0.952,0.884,0.884,0.884,0.927,0.992,0.98,1.0,0.961,0.981,0.942,0.853,0.892,0.818,0.896,0.961,0.9,0.965,0.843,0.918,0.747,0.584,0.443,0.857,0.788
29,popular_hr_24,3,True,True,True,True,False,True,False,0.793,0.0,0.0,0.0,0.5,0.948,0.863,0.939,0.799,0.893,0.996,0.99,0.981,1.0,0.997,0.793,0.0,0.0,0.0,0.5,0.969,0.926,0.919,0.934,0.956,0.999,0.999,1.0,0.997,0.999,0.945,0.857,0.924,0.799,0.891,0.959,0.895,0.953,0.843,0.916,0.8,0.609,0.511,0.752,0.782
30,popular_hr_24,3,True,True,True,True,True,False,False,0.793,0.0,0.0,0.0,0.5,0.875,0.611,0.86,0.474,0.727,0.977,0.943,0.95,0.937,0.962,0.834,0.355,0.909,0.22,0.607,0.929,0.83,0.826,0.835,0.894,0.966,0.915,0.963,0.871,0.931,0.889,0.702,0.788,0.634,0.795,0.906,0.743,0.856,0.656,0.813,0.844,0.572,0.661,0.504,0.718
31,popular_hr_24,3,True,True,True,False,False,False,False,0.793,0.0,0.0,0.0,0.5,0.875,0.603,0.883,0.457,0.721,0.967,0.919,0.937,0.901,0.943,0.839,0.383,0.917,0.242,0.618,0.915,0.797,0.788,0.807,0.875,0.966,0.914,0.966,0.868,0.93,0.88,0.673,0.774,0.595,0.775,0.902,0.731,0.845,0.645,0.807,0.846,0.57,0.675,0.493,0.716
32,popular_hr_24,6,True,True,True,True,True,True,True,0.808,0.0,0.0,0.0,0.5,0.934,0.824,0.85,0.8,0.883,0.96,0.902,0.861,0.947,0.955,0.808,0.0,0.0,0.0,0.5,0.898,0.746,0.717,0.776,0.852,0.968,0.912,0.98,0.853,0.924,0.92,0.787,0.804,0.771,0.863,0.939,0.829,0.897,0.771,0.875,0.765,0.567,0.439,0.8,0.778
33,popular_hr_24,6,True,True,True,True,False,True,False,0.808,0.0,0.0,0.0,0.5,0.915,0.759,0.837,0.694,0.831,0.944,0.866,0.797,0.947,0.945,0.808,0.0,0.0,0.0,0.5,0.929,0.817,0.806,0.829,0.891,0.989,0.97,0.976,0.965,0.98,0.916,0.77,0.816,0.729,0.845,0.951,0.864,0.932,0.806,0.896,0.803,0.571,0.492,0.682,0.757
34,popular_hr_24,6,True,True,True,True,True,False,False,0.808,0.0,0.0,0.0,0.5,0.879,0.58,0.871,0.435,0.71,0.923,0.789,0.836,0.747,0.856,0.825,0.18,0.895,0.1,0.549,0.864,0.657,0.639,0.676,0.793,0.925,0.787,0.871,0.718,0.846,0.88,0.639,0.758,0.553,0.755,0.901,0.699,0.836,0.6,0.786,0.86,0.563,0.702,0.471,0.712
35,popular_hr_24,6,True,True,True,False,False,False,False,0.808,0.0,0.0,0.0,0.5,0.88,0.579,0.89,0.429,0.708,0.914,0.764,0.809,0.724,0.841,0.826,0.189,0.9,0.106,0.552,0.872,0.665,0.671,0.659,0.791,0.932,0.809,0.882,0.747,0.862,0.881,0.646,0.756,0.565,0.761,0.888,0.655,0.803,0.553,0.76,0.862,0.564,0.718,0.465,0.711
